"event_player_1_name","weighted_win_percentage","total_weighted","win_percentage","total_faceoffs","importance_factor"
"Michael McLeod",65.4106783826048,1342.9,65.0306748466258,652,2.05966257668712
"Jeff Carter",61.9042472711553,925.3,62.5,424,2.18231132075472
"Jamie Benn",61.3214778476161,1956.9,61.3762486126526,901,2.17192008879024
"Nico Sturm",60.4328126863003,1677.4,60.0967351874244,827,2.02829504232165
"Robby Fabbri",59.841329807329,264.7,58.3333333333333,120,2.20583333333333
"John Tavares",59.1427749544539,3128.7,58.8666666666667,1500,2.0858
"Vincent Trocheck",58.7854805570352,3942.3,58.5605234460196,1834,2.14956379498364
"Sidney Crosby",58.5592583961262,3861.9,58.2264957264957,1872,2.06298076923077
"Claude Giroux",58.4719334719334,2501.2,57.9861111111111,1152,2.17118055555556
"Christian Dvorak",57.6779026217229,694.2,57.7712609970675,341,2.03577712609971
"Jordan Staal",57.6612402137443,3218.8,57.7384712571068,1583,2.03335439039798
"Tomas Hertl",57.6417857459838,2253.4,57.4883720930233,1075,2.09618604651163
"Jaden Schwartz",57.4252136752137,374.4,57.1428571428571,161,2.32546583850932
"Aleksander Barkov",57.2379210293932,3170.8,56.708526107072,1513,2.09570389953734
"J.T. Miller",57.150030686827,3584.6,56.6686080372743,1717,2.08771112405358
"Kevin Hayes",57.1226997471927,1700.9,57.0405727923628,838,2.02971360381862
"Chris Tierney",56.909917134456,374.1,57.2164948453608,194,1.92835051546392
"Nico Hischier",56.8417752386261,2870.6,56.5969718817592,1387,2.06964671953857
"Roope Hintz",56.7930029154519,1372,56.2225475841874,683,2.00878477306003
"William Karlsson",56.2648202598881,2108.6,56.2130177514793,1014,2.07948717948718
"Mitchell Stephens",56.25,257.6,55.5555555555556,135,1.90814814814815
"Tyler Seguin",55.9640042347959,1700.2,56.25,816,2.08357843137255
"Jack Drury",55.8313817330211,1494.5,56.0585885486019,751,1.99001331557923
"Elias Lindholm",55.7943543683658,3429.2,55.5276381909548,1592,2.15402010050251
"Luke Glendening",55.4078849491694,2016.5,56.0406091370558,985,2.04720812182741
"Dylan Larkin",55.4063055062167,2702.4,55.3750966744006,1293,2.09002320185615
"David Gustafsson",55.2209810587664,411.8,54.7169811320755,212,1.94245283018868
"Steven Stamkos",55.1816239316239,1497.6,55.5710306406685,718,2.0857938718663
"Noel Acciari",54.9739087219416,1207.3,54.5296167247387,574,2.10331010452962
"Leon Draisaitl",54.9334878443301,4142.1,55.1189245087901,1934,2.14172699069287
"Jean-Gabriel Pageau",54.9307163597603,2720.7,55.4447852760736,1304,2.0864263803681
"Matt Duchene",54.82500634035,1577.2,55.6122448979592,784,2.01173469387755
"Anze Kopitar",54.7242972002053,3507.4,55.294825511432,1662,2.11034897713598
"Mark Kastelic",54.5221198852484,662.3,54.4412607449857,349,1.89770773638968
"Sean Monahan",54.5215889464594,2895,54.5722713864307,1356,2.13495575221239
"Boone Jenner",54.5143291909714,2365.8,54.2677448337826,1113,2.1256064690027
"Byron Froese",54.3579164517793,193.9,55.6603773584906,106,1.82924528301887
"Nicholas Paul",54.3031470777136,2179.8,54.1509433962264,1060,2.05641509433963
"Erik Haula",54.2567604183601,1845.3,54.8206278026906,892,2.06872197309417
"Pavel Zacha",54.2311861257355,2583.2,53.8524590163934,1220,2.11737704918033
"Anton Lundell",54.0342712079544,2363.5,54.222972972973,1184,1.99619932432433
"Bo Horvat",53.9023020774846,3205.8,53.957783641161,1516,2.1146437994723
"Auston Matthews",53.8081249552196,2791.40000000001,53.6879432624114,1410,1.97971631205674
